Sample_ID,District,Soil_Type,Canal_Access,Soil_pH,Moisture_%,Rainfall_mm,Recommended_Irrigation_Liters
1414,Karachi,Sandy,No,8.14,30.18,182,105.5
1415,Karachi,Sandy,No,8.5,7.2,132,451.0
1416,Karachi,Sandy,No,7.38,12.59,141,285.6
1417,Karachi,Sandy,No,7.66,16.31,152,235.3
1418,Karachi,Sandy,No,8.1,6.51,110,435.6
1419,Karachi,Sandy,No,7.08,15.42,107,275.1
1420,Hyderabad,Clay,Yes,7.44,17.49,28,740.9
1421,Hyderabad,Clay,Yes,6.82,6.97,25,966.1
1422,Hyderabad,Clay,Yes,7.92,29.01,97,440.7
1423,Hyderabad,Clay,Yes,7.54,32.16,10,485.8
1424,Hyderabad,Clay,Yes,7.18,33.23,81,351.9
1425,Hyderabad,Clay,Yes,6.97,15.08,2,860.5
1426,Hyderabad,Clay,Yes,7.36,12.45,71,824.6
1427,Hyderabad,Clay,Yes,7.3,13.43,194,562.6
1428,Hyderabad,Clay,Yes,7.37,30.18,7,550.5
1429,Hyderabad,Clay,Yes,7.88,11.51,32,925.4
1430,Hyderabad,Clay,Yes,7.71,34.22,31,476.5
1431,Hyderabad,Clay,Yes,7.39,23.42,17,648.0
1432,Hyderabad,Clay,Yes,7.83,7.59,138,693.3
1433,Hyderabad,Clay,Yes,6.69,34.39,170,216.1
1434,Hyderabad,Clay,Yes,7.47,14.49,3,877.3
1435,Hyderabad,Clay,Yes,7.02,9.74,187,739.2
1436,Hyderabad,Clay,Yes,7.54,22.97,146,484.6
1437,Hyderabad,Clay,Yes,7.79,21.6,86,672.6
1438,Hyderabad,Clay,Yes,7.38,13.47,156,667.6
1439,Hyderabad,Clay,Yes,7.61,6.5,166,839.2
1440,Hyderabad,Clay,Yes,7.49,16.71,70,743.3
1441,Hyderabad,Clay,Yes,7.1,9.04,198,675.7
1442,Hyderabad,Clay,Yes,8.5,14.04,8,968.0
1443,Hyderabad,Clay,Yes,7.84,33.54,196,250.7
1444,Hyderabad,Clay,Yes,7.1,32.68,97,349.7
1445,Hyderabad,Clay,Yes,6.8,14.21,112,622.9
1446,Hyderabad,Clay,Yes,7.64,33.38,136,315.9
1447,Hyderabad,Clay,Yes,7.59,19.23,4,793.6
1448,Hyderabad,Clay,Yes,8.5,27.09,173,492.4
1449,Hyderabad,Clay,Yes,7.25,7.75,174,743.9
1450,Hyderabad,Clay,Yes,7.41,7.05,21,1031.9
1451,Hyderabad,Clay,Yes,7.18,29.57,48,401.3
1452,Hyderabad,Clay,Yes,8.36,17.45,24,902.1
1453,Hyderabad,Clay,Yes,7.17,14.52,80,714.8
1454,Hyderabad,Clay,Yes,7.66,32.96,57,435.5
1455,Hyderabad,Clay,Yes,8.21,30.99,67,508.8
1456,Hyderabad,Clay,Yes,6.93,11.46,6,918.4
1457,Hyderabad,Clay,Yes,7.23,27.42,103,416.6
1458,Hyderabad,Clay,Yes,7.24,11.39,115,785.3
1459,Hyderabad,Clay,Yes,7.82,16.46,56,737.7
1460,Hyderabad,Clay,Yes,7.25,26.75,77,507.1
1461,Hyderabad,Clay,Yes,7.58,23.28,19,641.1
1462,Larkana,Peaty,Yes,6.59,26.48,39,531.8
1463,Larkana,Peaty,Yes,7.36,5.47,143,840.8
1464,Larkana,Peaty,Yes,7.23,13.46,92,656.9
1465,Larkana,Peaty,Yes,7.59,31.2,186,336.9
1466,Larkana,Peaty,Yes,7.27,28.42,178,378.4
1467,Larkana,Peaty,Yes,7.42,22.31,39,663.3
1468,Larkana,Peaty,Yes,7.81,24.61,1,779.1
1469,Larkana,Peaty,Yes,7.23,29.06,30,582.2
1470,Larkana,Peaty,Yes,7.09,21.71,129,547.3
1471,Larkana,Peaty,Yes,7.82,19.23,11,780.3
1472,Larkana,Peaty,Yes,7.49,14.86,163,646.2
1473,Larkana,Peaty,Yes,7.78,24.67,40,715.4
1474,Larkana,Peaty,Yes,7.22,33.04,3,559.1
1475,Larkana,Peaty,Yes,7.11,17.95,102,662.1
1476,Larkana,Peaty,Yes,6.64,31.46,90,449.5
1477,Larkana,Peaty,Yes,7.38,8.38,133,741.9
1478,Larkana,Peaty,Yes,7.22,11.47,113,737.9
1479,Larkana,Peaty,Yes,6.91,18.44,122,529.8
1480,Larkana,Peaty,Yes,7.0,12.75,28,779.3
1481,Larkana,Peaty,Yes,7.52,32.25,193,305.3
1482,Larkana,Peaty,Yes,7.41,7.24,163,756.6
1483,Larkana,Peaty,Yes,7.27,34.61,92,406.2
1484,Larkana,Peaty,Yes,6.59,29.56,112,468.1
1485,Larkana,Peaty,Yes,6.34,27.6,14,649.9
1486,Larkana,Peaty,Yes,7.08,11.51,6,908.3
1487,Larkana,Peaty,Yes,7.54,11.39,22,920.4
1488,Larkana,Peaty,Yes,7.16,15.52,89,717.4
1489,Larkana,Peaty,Yes,7.77,8.38,193,673.8
1490,Larkana,Peaty,Yes,7.25,7.65,31,871.9
1491,Larkana,Peaty,Yes,7.19,7.63,93,804.7
1492,Larkana,Peaty,Yes,6.84,28.03,15,604.8
1493,Larkana,Peaty,Yes,7.76,23.42,0,767.1
1494,Larkana,Peaty,Yes,7.33,33.78,73,397.7
1495,Larkana,Peaty,Yes,7.06,34.18,76,409.9
1496,Larkana,Peaty,Yes,7.11,8.43,16,911.8
1497,Larkana,Peaty,Yes,7.36,9.37,120,818.3
1498,Larkana,Peaty,Yes,7.03,34.63,47,417.9
1499,Larkana,Peaty,Yes,6.63,19.63,198,539.3
1500,Larkana,Peaty,Yes,7.03,26.12,92,533.4
1501,Larkana,Peaty,Yes,7.42,12.01,162,636.0
1502,Larkana,Peaty,Yes,7.1,30.89,33,503.8
1503,Larkana,Peaty,Yes,7.55,26.81,189,418.1
